Data
11.21076
10.86441
10.48439
10.07828
9.653751
9.218282
8.778951
8.342236
7.913894
7.498892
7.101378
6.724701
6.371448
6.043513
5.742175
5.468184
5.221844
5.003101
4.81162
4.646854
4.508115
4.39462
4.305545
4.240061
4.197364
4.176703
4.177399
4.198856
4.240571
4.302139
4.383254
4.483709
4.603385
4.742246
4.900326
5.077714
5.274531
5.490911
5.726969
5.982768
6.258279
6.553334
6.867572
7.200379
7.550819
7.91756
8.298799
8.692178
9.094716
9.502732
9.911808
10.31676
10.71164
11.08983
11.44414
11.76698
12.05063
12.28754
12.47067
12.5939
12.65234
12.64272
12.56357
12.41543
12.20083
11.92418
11.59156
11.21039
10.78906
10.33649
9.861753
9.373729
8.880773
8.390504
7.909642
7.443928
6.998094
6.575892
6.180149
5.812863
5.475295
5.168087
4.891366
4.644846
4.427928
4.239785
4.079435
3.945808
3.837799
3.754312
3.694298
3.656779
3.640874
3.645808
3.670929
3.715711
3.779755
3.862791
3.964673
4.085375
4.22498
4.383671
4.561716
4.75945
4.977254
5.215531
5.474672
5.75502
6.056826
6.38019
6.725008
7.090887
7.477072
7.88235
8.304948
8.74243
9.191593
9.648372
10.10776
10.56377
11.00941
11.43681
11.83727
12.20158
12.52028
12.78408
12.98436
13.11362
13.16604
13.13785
13.02768
12.83671
12.56866
12.2296
11.82759
11.37222
10.87407
10.34418
9.793503
9.232516
8.670833
8.116983
7.578262
7.060686
6.569003
6.106774
5.676478
5.279649
4.917015
4.588643
4.294075
4.032448
3.802611
3.603217
3.432805
3.28987
3.172916
3.080503
3.011274
2.963989
2.937539
2.930958
2.943433
2.974308
3.023083
3.089418
3.173123
3.274159
3.392632
3.528779
3.682969
3.855686
4.047517
4.259137
4.491292
4.744772
5.020384
5.318914
5.641083
5.987489
6.358542
6.754381
7.174777
7.619018
8.085788
8.573018
9.07774
9.595938
10.12241
10.65065
11.1728
11.67966
12.16079
12.60475
12.9995
13.33288
13.59324
13.7702
13.85534
13.84286
13.73014
13.51799
13.21068
12.81574
12.34341
11.80602
11.21719
10.59104
9.941504
9.2817
8.623486
7.977167
7.351341
6.752873
6.186965
5.65729
5.166171
4.714774
4.303315
3.931244
3.597427
3.300303
3.038016
2.808529
2.609725
2.43947
2.295684
2.176378
2.079691
2.003911
1.947493
1.909066
1.887438
1.881598
1.890711
1.91412
1.951334
2.00203
2.066044
2.143364
2.23413
2.338626
2.457277
